,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Low,7.0,7.0,0.0,0.0,Actor,1.2666008472442627,1.0,0.0,0.8857639895621919,0.0681356915047839,0.0,0.0,Offenbach,20230210
1,1R,Low,5.0,5.0,0.0,0.0,Actor,1.016373872756958,1.0,1.0,0.9964469009080142,0.0067114093959731,0.0,1.0,Offenbach,20230210
2,1R,Low,6.0,6.0,0.0,0.0,Observer,1.0828123092651367,1.0,5.0,0.6097138101580203,0.3868905430439254,0.0,5.0,Offenbach,20230210
3,1R,Low,4.0,4.0,0.0,0.0,Actor,0.9997797012329102,1.0,6.0,1.0,0.0,0.0,6.0,Offenbach,20230210
4,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0832240581512451,1.0,7.0,1.0,0.0,0.0,7.0,Offenbach,20230210
5,1R,Low,3.0,3.0,0.0,0.0,Actor,1.216378927230835,1.0,8.0,1.0,0.0,0.0,8.0,Offenbach,20230210
6,1R,Low,3.0,3.0,0.0,0.0,Observer,1.716609001159668,1.0,9.0,0.5932460679876493,0.3713022449052111,0.0,9.0,Offenbach,20230210
7,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0336840152740479,1.0,10.0,1.0,0.0,0.0,10.0,Offenbach,20230210
8,1R,Low,3.0,3.0,0.0,0.0,Observer,1.9670097827911377,1.0,11.0,0.2649210316426751,0.5927046809632732,0.0,11.0,Offenbach,20230210
9,1R,Low,3.0,3.0,0.0,0.0,Observer,1.149623155593872,1.0,12.0,0.4782417459725568,0.2583203591384613,0.0,12.0,Offenbach,20230210
10,1R,Low,4.0,4.0,0.0,1.0,Observer,1.950423002243042,-1.0,13.0,0.657515123313169,0.3545835272219637,0.0,13.0,Offenbach,20230210
11,1R,Low,1.0,1.0,0.0,0.0,Actor,1.116814136505127,1.0,0.0,1.0,0.0,0.0,15.0,Offenbach,20230210
