,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Low,1.0,1.0,0.0,0.0,Actor,1.016932725906372,1.0,0.0,1.0,0.0,0.0,1.0,Lalo,20230215
1,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0170161724090576,1.0,1.0,0.9999308706415272,0.0,0.0,2.0,Lalo,20230215
2,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0828840732574463,1.0,8.0,0.9999085798225557,0.0,0.0,9.0,Lalo,20230215
3,1R,Low,8.0,8.0,0.0,1.0,Actor,1.0338819026947021,-1.0,9.0,0.9659107896014876,0.0,0.0,10.0,Lalo,20230215
4,1R,Low,7.0,7.0,0.0,0.0,Actor,1.0172851085662842,1.0,0.0,1.0,0.0,0.0,13.0,Lalo,20230215
5,1R,Low,1.0,1.0,0.0,0.0,Actor,1.017096757888794,1.0,1.0,1.0,0.0,0.0,14.0,Lalo,20230215
6,1R,High,12.0,12.0,0.0,0.0,Observer,1.1492180824279785,1.0,3.0,0.9999314546438056,0.0,0.0,16.0,Lalo,20230215
7,1R,Low,8.0,8.0,0.0,0.0,Actor,1.0171189308166504,1.0,4.0,0.9631670533642692,0.0,0.0,17.0,Lalo,20230215
8,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9829330444335938,1.0,5.0,1.0,0.0,0.0,18.0,Lalo,20230215
9,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0501031875610352,1.0,6.0,0.999174874982806,0.0,0.0,19.0,Lalo,20230215
10,1R,Low,1.0,1.0,0.0,0.0,Observer,0.9996438026428223,1.0,7.0,1.0,0.0,0.0,20.0,Lalo,20230215
11,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0833721160888672,1.0,8.0,0.9539281653523796,0.0,0.0,21.0,Lalo,20230215
12,1R,Low,3.0,3.0,0.0,0.0,Observer-incongruent,1.1502220630645752,1.0,10.0,0.648510670121248,0.3107878610804702,0.0,23.0,Lalo,20230215
13,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9995107650756836,1.0,12.0,0.9997686998650388,0.0,0.0,25.0,Lalo,20230215
14,1R,Low,4.0,4.0,0.0,1.0,Observer,1.5333340167999268,-1.0,13.0,0.887546479453918,0.0,0.0,26.0,Lalo,20230215
15,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9838299751281738,1.0,0.0,0.999905922809416,0.0,0.0,29.0,Lalo,20230215
16,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0169310569763184,1.0,2.0,0.9999258266262128,0.0,0.0,31.0,Lalo,20230215
17,1R,Low,3.0,3.0,0.0,0.0,Actor,1.1327629089355469,1.0,3.0,1.0,0.0,0.0,32.0,Lalo,20230215
18,1R,Low,3.0,3.0,0.0,0.0,Observer-incongruent,1.2003560066223145,1.0,6.0,0.630357259984389,0.3755907441747071,0.0,35.0,Lalo,20230215
19,1R,Low,5.0,5.0,0.0,0.0,Actor,1.0171098709106445,1.0,7.0,0.9998912916072278,0.0,0.0,36.0,Lalo,20230215
20,1R,Low,5.0,5.0,0.0,0.0,Actor,1.0169401168823242,1.0,8.0,1.0,0.0,0.0,37.0,Lalo,20230215
21,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0168497562408447,1.0,9.0,0.9999145569321116,0.0,0.0,38.0,Lalo,20230215
22,1R,Low,1.0,1.0,0.0,0.0,Observer,1.033052921295166,1.0,10.0,1.0,0.0,0.0,39.0,Lalo,20230215
23,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9837839603424072,1.0,11.0,0.9994031697775876,0.0,0.0,40.0,Lalo,20230215
24,1R,Low,2.0,2.0,0.0,0.0,Actor,1.00016188621521,1.0,12.0,1.0,0.0,0.0,41.0,Lalo,20230215
25,1R,Low,8.0,8.0,0.0,0.0,Observer,1.0323131084442139,1.0,13.0,0.986217298506611,0.0895988907366644,0.0,42.0,Lalo,20230215
26,1R,Low,1.0,1.0,0.0,1.0,Observer,1.0670089721679688,-1.0,14.0,1.0,0.0,0.0,43.0,Lalo,20230215
27,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0001630783081055,1.0,0.0,0.989337822671156,0.0,0.0,45.0,Lalo,20230215
28,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0668020248413086,1.0,1.0,1.0,0.0,0.0,46.0,Lalo,20230215
29,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0337750911712646,1.0,2.0,1.0,0.0,0.0,47.0,Lalo,20230215
30,1R,Low,8.0,8.0,0.0,0.0,Observer,1.0996160507202148,1.0,3.0,0.9998915893482148,0.0,0.0,48.0,Lalo,20230215
31,1R,Med,11.0,11.0,0.0,0.0,Actor,1.0333750247955322,1.0,4.0,0.9089383130507764,0.0,0.0,49.0,Lalo,20230215
32,1R,Low,7.0,7.0,0.0,0.0,Observer,0.9997308254241943,1.0,5.0,0.9369790471027738,0.0,0.0,50.0,Lalo,20230215
33,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0159361362457275,1.0,6.0,0.9995525206638318,0.0,0.0,51.0,Lalo,20230215
34,1R,Low,6.0,6.0,0.0,0.0,Observer,1.0169711112976074,1.0,7.0,0.965467907617165,0.2944334753726106,0.0,52.0,Lalo,20230215
35,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0002448558807373,1.0,8.0,1.0,0.0,0.0,53.0,Lalo,20230215
36,1R,Low,2.0,2.0,0.0,0.0,Actor,1.200270652770996,1.0,13.0,0.999460109995674,0.0,0.0,58.0,Lalo,20230215
37,1R,Low,8.0,8.0,0.0,0.0,Observer,1.0159151554107666,1.0,14.0,1.0,0.0,0.0,59.0,Lalo,20230215
38,1R,Low,5.0,5.0,0.0,0.0,Observer,1.1824986934661865,1.0,15.0,0.9997689927663872,0.0,0.0,60.0,Lalo,20230215
39,1R,Low,8.0,8.0,0.0,0.0,Observer,1.0328221321105957,1.0,16.0,0.869137362299371,0.0,0.0,61.0,Lalo,20230215
40,1R,Low,2.0,2.0,0.0,1.0,Actor,1.0502369403839111,-1.0,18.0,0.9997569996275316,0.0,0.0,63.0,Lalo,20230215
41,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0165302753448486,1.0,0.0,1.0,0.0,0.0,67.0,Lalo,20230215
42,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9995789527893066,1.0,1.0,1.0,0.0865317515701325,0.0,68.0,Lalo,20230215
