,Unnamed: 0,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,history,pos_in_block,switched
0,0,0,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1677093529.030874,170,7.946475982666016,0,1,-1,-1,0.0,0.7333333333333333,"[1.4974939823150635, 2.030466079711914]",0.0,7.946475982666016,15,11,0,8.946774005889893,,,
1,1,1,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093541.179703,195,6.683627128601074,0,1,1,1,0.15,0.9,"[1.2828781604766846, 2.449784278869629]",1.0,6.683627128601074,10,9,0,7.683315992355347,1R,0.0,1.0
2,2,2,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093550.228721,112,7.032902240753174,1,0,1,1,0.15,0.7333333333333333,"[1.0667121410369873, 1.0499351024627686]",0.0,7.032902240753174,15,11,0,8.032636165618896,1NR,1.0,1.0
3,3,3,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1677093561.146368,120,7.299434185028076,0,1,-1,1,0.0,0.3333333333333333,"[1.199794054031372, 1.0500810146331787]",0.0,7.299434185028076,15,5,0,8.299083948135376,,,
4,4,4,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1677093572.1619651,117,7.049638271331787,0,1,-1,1,0.0,0.7333333333333333,"[1.1499099731445312, 1.1000580787658691]",0.0,7.049638271331787,15,11,0,8.065669059753418,,,
5,5,5,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1677093583.4943411,147,5.249986886978149,1,0,1,-1,0.15,0.875,"[1.6494030952453613, 1.0843141078948975]",1.0,5.249986886978149,8,7,0,6.249873161315918,1R,4.0,1.0
6,6,6,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1677093591.877151,114,3.383527994155884,0,1,1,-1,0.15,0.75,"[1.100290060043335, 1.100290060043335]",1.0,3.383527994155884,4,3,0,4.383644819259644,1R,5.0,1.0
7,7,7,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093598.875566,115,5.699994802474976,1,0,1,1,0.15,0.8181818181818182,"[1.1161749362945557, 1.0333061218261719]",1.0,5.699994802474976,11,9,0,6.71547269821167,1R,6.0,1.0
8,8,8,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093608.291577,116,3.700155973434448,1,0,1,1,0.15,0.8,"[1.1338047981262207, 1.016704797744751]",1.0,3.700155973434448,5,4,0,4.699871063232422,1R,7.0,1.0
9,9,9,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093615.741065,125,3.6164090633392334,1,0,1,1,0.15,0.5,"[1.1995551586151123, 1.2832090854644775]",1.0,3.6164090633392334,4,2,0,4.616294860839844,1R,8.0,1.0
10,10,10,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093622.790675,115,3.1170828342437744,1,0,1,1,0.15,0.6666666666666666,"[1.1166200637817383, 1.0331201553344727]",1.0,3.1170828342437744,3,2,0,4.115755081176758,1R,9.0,1.0
11,11,11,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093629.656589,125,3.2016279697418213,1,0,1,1,0.15,0.6666666666666666,"[1.283041000366211, 1.0664699077606201]",1.0,3.2016279697418213,3,2,0,4.216953992843628,1R,10.0,1.0
12,12,12,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093636.239831,113,3.3338329792022705,1,0,1,1,0.15,0.25,"[1.0000510215759277, 1.0834639072418213]",1.0,3.3338329792022705,4,1,0,4.333356142044067,1R,11.0,1.0
13,13,13,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093643.122496,111,2.283717155456543,0,1,1,1,0.15,1.0,"[0.9836020469665527, 1.0500099658966064]",1.0,2.283717155456543,1,1,0,3.28345799446106,1R,12.0,1.0
14,14,14,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093648.906522,108,7.033032178878784,0,1,1,1,0.15,0.8666666666666667,"[0.9829537868499756, 1.001060962677002]",0.0,7.033032178878784,15,13,0,8.03305697441101,1NR,13.0,1.0
15,15,15,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1677093659.938685,121,2.4688220024108887,0,1,-1,1,0.15,1.0,"[1.2170610427856445, 1.0669569969177246]",1.0,2.4688220024108887,1,1,0,3.467013120651245,1R,0.0,1.0
16,16,16,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093665.754368,109,2.9497339725494385,1,0,-1,-1,0.15,0.6666666666666666,"[0.9831809997558594, 1.0162711143493652]",1.0,2.9497339725494385,3,2,0,3.950500011444092,1R,1.0,1.0
17,17,17,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093672.5205991,125,6.216078281402588,1,0,-1,-1,0.15,0.75,"[1.2842881679534912, 0.9833211898803711]",1.0,6.216078281402588,12,9,0,7.216054201126099,1R,2.0,1.0
18,18,18,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093682.353382,119,3.41598916053772,1,0,-1,-1,0.15,0.75,"[1.099532127380371, 1.1831450462341309]",1.0,3.41598916053772,4,3,0,4.415535926818848,1R,3.0,1.0
19,19,19,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093689.769102,143,3.8834071159362793,1,0,-1,-1,0.15,0.5,"[1.0999000072479248, 1.5829389095306396]",1.0,3.8834071159362793,4,2,0,4.882926225662232,1R,4.0,1.0
20,20,20,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093696.903264,121,2.8005073070526123,1,0,-1,-1,0.15,0.5,"[1.2176802158355713, 1.0670740604400635]",1.0,2.8005073070526123,2,1,0,3.800411939620972,1R,5.0,1.0
21,21,21,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093703.6853,146,7.533792972564697,0,1,-1,-1,0.15,0.6666666666666666,"[1.2173500061035156, 1.6340031623840332]",0.0,7.533792972564697,15,10,0,8.53304386138916,1NR,6.0,1.0
22,22,22,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1677093714.5184882,117,2.7169511318206787,1,0,-1,1,0.15,1.0,"[1.150111436843872, 0.9996743202209473]",1.0,2.7169511318206787,2,2,0,3.715579271316528,1R,7.0,1.0
23,23,23,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093720.734447,113,3.65116286277771,1,0,-1,-1,0.15,0.6,"[1.083669900894165, 1.05029296875]",1.0,3.65116286277771,5,3,0,4.650042772293091,1R,8.0,1.0
24,24,24,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093728.133424,122,6.816190004348755,1,0,-1,-1,0.15,0.7857142857142857,"[1.0497651100158691, 1.2338292598724365]",1.0,6.816190004348755,14,11,0,7.816524982452393,1R,9.0,1.0
25,25,25,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093738.566139,115,6.3663859367370605,0,1,-1,-1,0.15,0.8461538461538461,"[1.1163818836212158, 1.0501840114593506]",1.0,6.3663859367370605,13,11,0,7.365872859954834,1R,10.0,1.0
26,26,26,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1677093748.748616,121,7.116380929946899,1,0,-1,-1,0.0,0.7333333333333333,"[1.2164549827575684, 1.0327820777893066]",0.0,7.116380929946899,15,11,0,8.115850925445557,1NR,11.0,1.0
27,27,27,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1677093759.4653282,112,5.633677959442139,1,0,1,-1,0.15,0.7272727272727273,"[1.0003430843353271, 1.0670709609985352]",1.0,5.633677959442139,11,8,0,6.64924693107605,1R,0.0,1.0
28,28,28,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093768.713977,107,4.900164842605591,0,1,1,1,0.15,1.0,"[0.9831087589263916, 0.9831087589263916]",1.0,4.900164842605591,9,9,0,5.899965763092041,1R,1.0,1.0
29,29,29,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093777.746444,136,2.7004940509796143,0,1,1,1,0.15,1.0,"[1.4666550159454346, 0.9833390712738037]",1.0,2.7004940509796143,1,1,0,3.700186014175415,1R,2.0,1.0
30,30,30,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093783.680423,116,6.366039037704468,0,1,1,1,0.15,0.9230769230769232,"[1.1339890956878662, 1.0331151485443115]",1.0,6.366039037704468,13,12,0,7.366098880767822,1R,3.0,1.0
