,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9836349487304688,1.0,0.0,1.0,Offenbach,20230825
1,1R,Low,2.0,2.0,1.0,0.0,Actor,1.4324190616607666,-1.0,1.0,2.0,Offenbach,20230825
2,1R,Low,6.0,6.0,0.0,0.0,Actor-incongruent,1.1998250484466553,1.0,3.0,4.0,Offenbach,20230825
3,1R,Low,1.0,1.0,0.0,0.0,Observer,1.033069133758545,1.0,4.0,5.0,Offenbach,20230825
4,1R,Low,7.0,7.0,1.0,0.0,Observer,2.2500531673431396,-1.0,5.0,6.0,Offenbach,20230825
5,1R,Low,5.0,5.0,1.0,0.0,Observer-incongruent,1.0660407543182373,-1.0,7.0,8.0,Offenbach,20230825
6,1R,Low,3.0,3.0,1.0,0.0,Observer-incongruent,1.116098165512085,-1.0,9.0,10.0,Offenbach,20230825
7,1R,Low,7.0,7.0,0.0,0.0,Actor-incongruent,1.3493010997772217,1.0,11.0,12.0,Offenbach,20230825
8,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9829938411712646,1.0,12.0,13.0,Offenbach,20230825
9,1R,Low,7.0,7.0,0.0,1.0,Actor,0.9832088947296143,-1.0,13.0,14.0,Offenbach,20230825
10,1R,Low,7.0,7.0,0.0,0.0,Actor,1.1329419612884521,1.0,0.0,17.0,Offenbach,20230825
11,1R,Low,8.0,8.0,0.0,0.0,Actor,1.1494977474212646,1.0,1.0,18.0,Offenbach,20230825
12,1R,Low,3.0,3.0,0.0,0.0,Observer,1.082529067993164,1.0,2.0,19.0,Offenbach,20230825
13,1R,Low,2.0,2.0,0.0,0.0,Observer,1.3660600185394287,1.0,3.0,20.0,Offenbach,20230825
14,1R,High,12.0,12.0,1.0,0.0,Observer,2.26676082611084,-1.0,4.0,21.0,Offenbach,20230825
15,1R,Low,4.0,4.0,0.0,0.0,Actor,1.1661980152130127,1.0,9.0,26.0,Offenbach,20230825
16,1R,Low,1.0,1.0,0.0,0.0,Actor,1.065777063369751,1.0,10.0,27.0,Offenbach,20230825
17,1R,Low,1.0,1.0,0.0,1.0,Actor,1.0489811897277832,-1.0,11.0,28.0,Offenbach,20230825
18,1R,Low,2.0,2.0,0.0,0.0,Actor-incongruent,1.0497150421142578,1.0,0.0,31.0,Offenbach,20230825
19,1R,Low,2.0,2.0,0.0,0.0,Actor,1.1496467590332031,1.0,1.0,32.0,Offenbach,20230825
20,1R,Low,1.0,1.0,0.0,0.0,Actor,2.199486017227173,1.0,2.0,33.0,Offenbach,20230825
21,1R,Low,1.0,1.0,1.0,0.0,Observer-incongruent,1.2835049629211426,-1.0,5.0,36.0,Offenbach,20230825
22,1R,Low,7.0,7.0,0.0,0.0,Actor-incongruent,1.0667860507965088,1.0,8.0,39.0,Offenbach,20230825
