,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0003199577331543,1.0,0.0,0.0,Lalo,20230828
1,1R,Low,8.0,8.0,0.0,0.0,Observer-incongruent,0.9837551116943359,1.0,2.0,2.0,Lalo,20230828
2,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0167582035064697,1.0,3.0,3.0,Lalo,20230828
3,1R,Low,3.0,3.0,0.0,0.0,Observer,1.7165088653564453,1.0,4.0,4.0,Lalo,20230828
4,1R,Med,10.0,10.0,1.0,0.0,Observer-incongruent,0.9999890327453613,-1.0,6.0,6.0,Lalo,20230828
5,1R,Low,1.0,1.0,1.0,0.0,Observer-incongruent,0.9993500709533691,-1.0,7.0,7.0,Lalo,20230828
6,1R,Low,1.0,1.0,0.0,0.0,Observer-incongruent,1.0493597984313965,1.0,8.0,8.0,Lalo,20230828
7,1R,Low,8.0,8.0,0.0,0.0,Actor,0.9996461868286133,1.0,0.0,10.0,Lalo,20230828
8,1R,Low,5.0,5.0,0.0,0.0,Observer,1.01652193069458,1.0,6.0,16.0,Lalo,20230828
9,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0169010162353516,1.0,8.0,18.0,Lalo,20230828
10,1R,Low,2.0,2.0,0.0,0.0,Actor-incongruent,1.0491199493408203,1.0,10.0,20.0,Lalo,20230828
11,1R,Low,2.0,2.0,0.0,1.0,Observer-incongruent,1.0170938968658447,-1.0,12.0,22.0,Lalo,20230828
12,1R,Low,7.0,7.0,0.0,0.0,Actor-incongruent,1.001499891281128,1.0,0.0,24.0,Lalo,20230828
13,1R,Low,3.0,3.0,0.0,0.0,Actor-incongruent,0.9831969738006592,1.0,1.0,25.0,Lalo,20230828
14,1R,Low,8.0,8.0,0.0,0.0,Actor-incongruent,0.9990558624267578,1.0,2.0,26.0,Lalo,20230828
15,1R,High,12.0,12.0,0.0,0.0,Actor-incongruent,1.0159261226654053,1.0,3.0,27.0,Lalo,20230828
16,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0327448844909668,1.0,4.0,28.0,Lalo,20230828
17,1R,Low,6.0,6.0,0.0,0.0,Observer,0.9831750392913818,1.0,5.0,29.0,Lalo,20230828
18,1R,Med,10.0,10.0,0.0,0.0,Actor,0.9991030693054199,1.0,6.0,30.0,Lalo,20230828
19,1R,Low,5.0,5.0,0.0,0.0,Observer,1.0166919231414795,1.0,7.0,31.0,Lalo,20230828
20,1R,Med,11.0,11.0,0.0,0.0,Observer,0.9837899208068848,1.0,8.0,32.0,Lalo,20230828
21,1R,Low,1.0,1.0,0.0,1.0,Observer-incongruent,0.9991810321807861,-1.0,11.0,35.0,Lalo,20230828
22,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0159969329833984,1.0,0.0,38.0,Lalo,20230828
23,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0328760147094727,1.0,1.0,39.0,Lalo,20230828
24,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9994161128997803,1.0,2.0,40.0,Lalo,20230828
25,1R,Low,1.0,1.0,0.0,0.0,Actor,1.033099889755249,1.0,4.0,42.0,Lalo,20230828
26,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0502142906188965,1.0,5.0,43.0,Lalo,20230828
27,1R,Low,2.0,2.0,0.0,0.0,Observer,1.033087968826294,1.0,6.0,44.0,Lalo,20230828
28,1R,Med,11.0,11.0,0.0,0.0,Actor,1.0667448043823242,1.0,7.0,45.0,Lalo,20230828
29,1R,Low,1.0,1.0,0.0,0.0,Observer,1.033271074295044,1.0,8.0,46.0,Lalo,20230828
30,1R,Low,5.0,5.0,0.0,0.0,Observer,1.017024040222168,1.0,9.0,47.0,Lalo,20230828
31,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0160479545593262,1.0,10.0,48.0,Lalo,20230828
32,1R,Low,6.0,6.0,0.0,0.0,Observer,1.0162768363952637,1.0,11.0,49.0,Lalo,20230828
33,1R,Low,2.0,2.0,0.0,1.0,Observer,1.0172860622406006,-1.0,12.0,50.0,Lalo,20230828
34,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9850249290466309,1.0,0.0,53.0,Lalo,20230828
35,1R,Med,10.0,10.0,0.0,0.0,Actor,1.016563892364502,1.0,1.0,54.0,Lalo,20230828
36,1R,Med,9.0,9.0,0.0,0.0,Observer,1.049626111984253,1.0,2.0,55.0,Lalo,20230828
37,1R,Low,4.0,4.0,0.0,0.0,Observer,0.998913049697876,1.0,3.0,56.0,Lalo,20230828
38,1R,Low,1.0,1.0,1.0,0.0,Observer-incongruent,1.099005937576294,-1.0,5.0,58.0,Lalo,20230828
39,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9994828701019287,1.0,7.0,60.0,Lalo,20230828
40,1R,Med,9.0,9.0,0.0,0.0,Observer,1.0006921291351318,1.0,8.0,61.0,Lalo,20230828
41,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9836761951446533,1.0,9.0,62.0,Lalo,20230828
42,1R,Low,2.0,2.0,0.0,1.0,Observer,1.0001652240753174,-1.0,12.0,65.0,Lalo,20230828
43,1R,Low,2.0,2.0,0.0,0.0,Actor-incongruent,1.0334422588348389,1.0,0.0,67.0,Lalo,20230828
44,1R,Low,2.0,2.0,0.0,0.0,Observer,1.000459909439087,1.0,1.0,68.0,Lalo,20230828
45,1R,Low,1.0,1.0,0.0,0.0,Observer,0.999636173248291,1.0,2.0,69.0,Lalo,20230828
46,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0167169570922852,1.0,3.0,70.0,Lalo,20230828
47,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0334479808807373,1.0,4.0,71.0,Lalo,20230828
48,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9998588562011719,1.0,5.0,72.0,Lalo,20230828
49,1R,Low,3.0,3.0,0.0,0.0,Actor,1.015742301940918,1.0,6.0,73.0,Lalo,20230828
50,1R,Low,6.0,6.0,0.0,0.0,Actor,1.0166749954223633,1.0,7.0,74.0,Lalo,20230828
51,1R,Low,3.0,3.0,0.0,0.0,Observer,1.03236985206604,1.0,0.0,77.0,Lalo,20230828
52,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9997899532318115,1.0,1.0,78.0,Lalo,20230828
53,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0002310276031494,1.0,2.0,79.0,Lalo,20230828
54,1R,Low,6.0,6.0,0.0,0.0,Actor,1.066237211227417,1.0,3.0,80.0,Lalo,20230828
55,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9828639030456543,1.0,4.0,81.0,Lalo,20230828
56,1R,Low,4.0,4.0,0.0,0.0,Actor,0.9832031726837158,1.0,5.0,82.0,Lalo,20230828
57,1R,Low,2.0,2.0,0.0,0.0,Actor-incongruent,0.9991540908813477,1.0,6.0,83.0,Lalo,20230828
58,1R,Low,7.0,7.0,0.0,0.0,Actor-incongruent,1.0499367713928223,1.0,7.0,84.0,Lalo,20230828
59,1R,Med,10.0,10.0,0.0,0.0,Observer-incongruent,0.9830210208892822,1.0,11.0,88.0,Lalo,20230828
60,1R,Med,9.0,9.0,0.0,0.0,Observer,1.2672739028930664,1.0,12.0,89.0,Lalo,20230828
61,1R,Low,1.0,1.0,0.0,0.0,Observer-incongruent,1.3664298057556152,1.0,14.0,91.0,Lalo,20230828
62,1R,Low,4.0,4.0,0.0,0.0,Observer,0.9834170341491699,1.0,15.0,92.0,Lalo,20230828
63,1R,Low,4.0,4.0,0.0,1.0,Actor,0.9996860027313232,-1.0,16.0,93.0,Lalo,20230828
64,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0339090824127197,1.0,0.0,95.0,Lalo,20230828
65,1R,Low,3.0,3.0,0.0,0.0,Observer,1.1505742073059082,1.0,2.0,97.0,Lalo,20230828
66,1R,Low,5.0,5.0,0.0,0.0,Observer,0.999579906463623,1.0,3.0,98.0,Lalo,20230828
67,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0002641677856445,1.0,4.0,99.0,Lalo,20230828
68,1R,Med,10.0,10.0,0.0,0.0,Observer,1.0339548587799072,1.0,5.0,100.0,Lalo,20230828
69,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0331292152404785,1.0,6.0,101.0,Lalo,20230828
70,1R,Low,4.0,4.0,0.0,0.0,Actor-incongruent,1.0169041156768799,1.0,10.0,105.0,Lalo,20230828
71,1R,Low,2.0,2.0,0.0,0.0,Observer-incongruent,0.983363151550293,1.0,0.0,110.0,Lalo,20230828
72,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9831018447875977,1.0,1.0,111.0,Lalo,20230828
73,1R,Med,9.0,9.0,0.0,0.0,Observer,0.9832220077514648,1.0,2.0,112.0,Lalo,20230828
74,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9997391700744629,1.0,3.0,113.0,Lalo,20230828
75,1R,Low,7.0,7.0,1.0,0.0,Actor-incongruent,7.016219139099121,-1.0,4.0,114.0,Lalo,20230828
76,1R,Low,3.0,3.0,0.0,0.0,Actor-incongruent,1.0166218280792236,1.0,7.0,117.0,Lalo,20230828
77,1R,Med,11.0,11.0,0.0,0.0,Actor-incongruent,0.9830257892608643,1.0,8.0,118.0,Lalo,20230828
78,1R,Med,11.0,11.0,0.0,0.0,Observer-incongruent,1.0165722370147705,1.0,11.0,121.0,Lalo,20230828
