,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj
0,0,1693242605.2268212,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242607.928274,162,3.499838829040528,1,0,-1,-1,0.15,0.5,"[1.4496588706970215, 1.9003608226776123]",1.0,3.499838829040528,2,1,1.5189819572214502,0,4.516978979110718,2023_08_28_13_10_04,1,"[1, 0]","[1, 2]","[1, 0]","[1, 6]",1R,1R,0.0,1
1,1,1693242612.343435,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1693242614.3284822,119,7.282882928848267,1,0,1,-1,0.0,0.6666666666666666,"[1.1831269264221191, 1.0003199577331543]",0.0,7.282882928848267,15,10,1.7315770158232706,0,8.281978845596313,2023_08_28_13_10_11,2,"[1, 1]","[1, 1]","[1, 0]","[1, 5]",1NRO,1NR,1.0,2
2,2,1693242623.375531,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1693242625.5444028,130,5.6496498584747314,1,0,-1,1,0.15,0.8,"[1.3672242164611816, 1.0166049003601074]",1.0,5.6496498584747314,10,8,2.1489692740883664,0,6.649617910385132,2023_08_28_13_10_22,3,"[0, 1]","[8, 1]","[0, 0]","[8, 4]",1R,1R,2.0,3
3,3,1693242632.7079198,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242634.825978,127,5.367437124252319,1,0,-1,-1,0.15,0.7777777777777778,"[1.3167271614074707, 0.9837551116943359]",1.0,5.367437124252319,9,7,1.8922207683877927,0,6.366842031478882,2023_08_28_13_10_31,4,"[0, 0]","[7, 3]","[0, 0]","[7, 3]",1R,1R,3.0,4
4,4,1693242641.757439,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242643.775612,121,3.517339944839477,1,0,-1,-1,0.15,0.75,"[1.2163910865783691, 1.0167582035064697]",1.0,3.517339944839477,4,3,1.5213146990666937,0,4.515884160995483,2023_08_28_13_10_40,5,"[0, 0]","[6, 2]","[0, 0]","[6, 2]",1R,1R,4.0,5
5,5,1693242648.8738382,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242654.341145,328,10.783646821975708,1,0,-1,-1,0.15,0.5333333333333333,"[4.666426658630371, 1.7165088653564453]",0.0,10.783646821975708,15,8,1.661734597096902,0,11.782504796981812,2023_08_28_13_10_47,6,"[0, 1]","[5, 1]","[0, 1]","[5, 1]",1NR,1NR,5.0,6
6,6,1693242663.589352,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1693242665.759796,130,6.933654069900513,1,0,-1,1,0.15,0.7142857142857143,"[1.3665401935577393, 1.0171089172363281]",1.0,6.933654069900513,14,10,1.4868831701688972,0,7.933161020278931,2023_08_28_13_11_02,7,"[0, 0]","[4, 3]","[0, 1]","[4, 1]",1R,1R,6.0,7
7,7,1693242674.27174,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1693242676.157612,113,2.6501119136810303,1,0,-1,1,0.15,0.5,"[1.0834758281707764, 0.9999890327453613]",1.0,2.6501119136810303,2,1,1.6862117144556543,0,3.65073299407959,2023_08_28_13_11_13,8,"[0, 0]","[3, 2]","[0, 1]","[3, 1]",1R,1R,7.0,8
8,8,1693242680.4885929,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1693242682.523983,122,2.484047174453736,1,0,-1,1,0.15,1.0,"[1.2324652671813965, 0.9993500709533691]",1.0,2.484047174453736,1,1,1.5091718832762226,0,3.4850752353668213,2023_08_28_13_11_19,9,"[0, 1]","[2, 1]","[0, 0]","[2, 2]",1R,1R,8.0,9
9,9,1693242686.538027,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242688.47242,116,7.0334248542785645,1,0,-1,-1,0.15,0.8666666666666667,"[1.1328840255737305, 1.0493597984313965]",0.0,7.0334248542785645,15,13,1.4888592675396617,0,8.033615112304688,2023_08_28_13_11_25,10,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NR,1NR,9.0,10
10,10,1693242697.320498,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242701.837682,271,7.949512958526611,0,1,1,1,0.15,0.8,"[3.716295003890991, 1.4663300514221191]",1.0,7.949512958526611,10,8,1.9762386445879212,0,8.949458122253418,2023_08_28_13_11_36,11,"[1, 0]","[1, 2]","[1, 0]","[1, 2]",1R,1R,0.0,1
11,11,1693242709.0528278,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1693242717.8213398,525,14.065979242324827,0,1,1,-1,0.15,0.8666666666666667,"[7.966781139373779, 0.9996461868286133]",0.0,14.065979242324827,15,13,1.5664102063361338,0,15.065715312957764,2023_08_28_13_11_47,12,"[1, 1]","[1, 1]","[0, 1]","[2, 1]",1NR,1NR,1.0,2
12,12,1693242727.218357,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1693242729.5706398,141,7.666258811950684,0,1,-1,1,0.0,0.7333333333333333,"[1.5500867366790771, 1.2502660751342773]",0.0,7.666258811950684,15,11,1.2252107528628715,0,8.665671825408936,2023_08_28_13_12_06,13,"[0, 1]","[3, 1]","[1, 1]","[1, 1]",1NRO,2NR,2.0,3
13,13,1693242738.6676,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242740.535606,112,7.051500082015991,0,1,1,1,0.15,0.6666666666666666,"[1.0668201446533203, 1.0164260864257812]",0.0,7.051500082015991,15,10,1.6844585222252544,0,8.04974102973938,2023_08_28_13_12_17,14,"[0, 0]","[2, 2]","[0, 0]","[2, 2]",1NRG,3NR,3.0,4
14,14,1693242749.4672818,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242754.6357791,310,10.482164144515991,1,0,1,1,0.15,0.6,"[4.366220235824585, 0.9998161792755127]",0.0,10.482164144515991,15,9,2.440031966764536,0,11.481694221496582,2023_08_28_13_12_28,15,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",2NRG,4NR,4.0,5
15,15,1693242763.8661098,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1693242765.683852,109,6.916000127792358,1,0,-1,-1,0.0,0.7333333333333333,"[1.0161821842193604, 1.0161821842193604]",0.0,6.916000127792358,15,11,2.330732784393939,0,7.915505170822143,2023_08_28_13_12_42,16,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NRO,5NR,5.0,6
16,16,1693242774.5153642,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242777.332763,169,4.6337738037109375,1,0,1,1,0.15,1.0,"[2.01629900932312, 1.0161609649658203]",1.0,4.6337738037109375,5,5,1.7091993217635175,0,5.633502960205078,2023_08_28_13_12_53,17,"[0, 0]","[4, 6]","[0, 0]","[4, 8]",1R,1R,6.0,7
17,17,1693242782.797676,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242784.615817,109,7.11637282371521,0,1,1,1,0.15,0.6666666666666666,"[1.01652193069458, 1.01652193069458]",0.0,7.11637282371521,15,10,1.7569268500123614,0,8.116297960281372,2023_08_28_13_13_01,18,"[0, 0]","[3, 5]","[0, 0]","[3, 7]",1NR,1NR,7.0,8
18,18,1693242793.663727,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242796.448294,167,3.550605773925781,0,1,1,1,0.15,0.5,"[1.9833569526672363, 1.033592939376831]",1.0,3.550605773925781,2,1,0.7959959062812993,0,4.549777984619141,2023_08_28_13_13_12,19,"[0, 0]","[2, 4]","[0, 0]","[2, 6]",1R,1R,8.0,9
19,19,1693242800.796814,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1693242802.6311638,110,7.017700910568237,0,1,1,1,0.15,0.7333333333333333,"[1.0331311225891113, 1.0169010162353516]",0.0,7.017700910568237,15,11,1.5717520083944374,0,8.015936136245728,2023_08_28_13_13_19,20,"[1, 0]","[1, 3]","[1, 0]","[1, 5]",1NR,1NR,9.0,10
20,20,1693242811.562909,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1693242813.781239,133,3.350503206253052,0,1,1,-1,0.15,0.6666666666666666,"[1.4160430431365967, 1.049509048461914]",1.0,3.350503206253052,3,2,1.847894868264101,0,4.350491285324097,2023_08_28_13_13_30,21,"[0, 0]","[2, 2]","[1, 0]","[1, 4]",1R,1R,10.0,11
